gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
ELP2	histone_write	16	0.3404255319148936	221	0.49330357142857145	67	0.43790849673202614	-0.15287803951367784	-0.09748296481713253	7	0.14893617021276595	102	0.22767857142857142	31	0.20261437908496732	-0.07874240121580547	-0.05367820887220137
MSH6	histone_read	16	0.3404255319148936	171	0.38169642857142855	49	0.3202614379084967	-0.04127089665653494	0.020164094006396904	2	0.0425531914893617	16	0.03571428571428571	6	0.0392156862745098	0.006838905775075989	0.0033375052148518977
NCOR2	histone_erase	16	0.3404255319148936	159	0.3549107142857143	57	0.37254901960784315	-0.014485182370820693	-0.03212348769294954	5	0.10638297872340426	59	0.13169642857142858	25	0.16339869281045752	-0.02531344984802432	-0.05701571408705326
BANP	histone_write	15	0.3191489361702128	98	0.21875	47	0.30718954248366015	0.10039893617021278	0.011959393686552633	4	0.0851063829787234	2	0.004464285714285714	1	0.006535947712418301	0.08064209726443769	0.0785704352663051
PAXIP1	histone_write	14	0.2978723404255319	141	0.31473214285714285	50	0.32679738562091504	-0.01685980243161095	-0.028925045195383137	1	0.02127659574468085	5	0.011160714285714286	3	0.0196078431372549	0.010115881458966565	0.0016687526074259489
PHC2	polycomb	14	0.2978723404255319	152	0.3392857142857143	46	0.3006535947712418	-0.0414133738601824	-0.002781254345709916	0	0.0	8	0.017857142857142856	2	0.013071895424836602	-0.017857142857142856	-0.013071895424836602
PRMT9	histone_write	14	0.2978723404255319	116	0.25892857142857145	53	0.3464052287581699	0.03894376899696045	-0.048532888332638024	14	0.2978723404255319	116	0.25892857142857145	53	0.3464052287581699	0.03894376899696045	-0.048532888332638024
BRD2	histone_read	13	0.2765957446808511	109	0.24330357142857142	44	0.2875816993464052	0.03329217325227965	-0.010985954665554132	0	0.0	4	0.008928571428571428	0	0.0	-0.008928571428571428	0.0
KAT6A	histone_write	13	0.2765957446808511	153	0.34151785714285715	41	0.2679738562091503	-0.06492211246200608	0.008621888471700756	1	0.02127659574468085	11	0.024553571428571428	3	0.0196078431372549	-0.0032769756838905775	0.0016687526074259489
TADA1	histone_chaperone	13	0.2765957446808511	103	0.22991071428571427	35	0.22875816993464052	0.0466850303951368	0.04783757474621056	0	0.0	0	0.0	4	0.026143790849673203	0.0	-0.026143790849673203
UIMC1	histone_read	13	0.2765957446808511	111	0.24776785714285715	47	0.30718954248366015	0.028827887537993924	-0.030593797802809075	1	0.02127659574468085	6	0.013392857142857142	3	0.0196078431372549	0.007883738601823708	0.0016687526074259489
ZNF217	histone_erase	13	0.2765957446808511	154	0.34375	59	0.38562091503267976	-0.06715425531914893	-0.10902517035182868	1	0.02127659574468085	12	0.026785714285714284	7	0.0457516339869281	-0.005509118541033434	-0.02447503824224725
NCOA2	chromatin_remodeling	12	0.2553191489361702	142	0.3169642857142857	49	0.3202614379084967	-0.061645136778115506	-0.06494228897232651	0	0.0	17	0.03794642857142857	3	0.0196078431372549	-0.03794642857142857	-0.0196078431372549
ALKBH4	dna_modification	11	0.23404255319148937	111	0.24776785714285715	40	0.26143790849673204	-0.013725303951367784	-0.027395355305242675	0	0.0	3	0.006696428571428571	0	0.0	-0.006696428571428571	0.0
DOT1L	histone_write	11	0.23404255319148937	127	0.28348214285714285	56	0.3660130718954248	-0.04943958966565348	-0.13197051870393545	2	0.0425531914893617	15	0.033482142857142856	8	0.05228758169934641	0.009071048632218845	-0.009734390209984706
FOXO1	tf	11	0.23404255319148937	97	0.21651785714285715	32	0.20915032679738563	0.017524696048632216	0.02489222639410374	5	0.10638297872340426	30	0.06696428571428571	11	0.0718954248366013	0.039418693009118544	0.034487553886802955
KANSL3	histone_write	11	0.23404255319148937	101	0.22544642857142858	27	0.17647058823529413	0.008596124620060791	0.05757196495619524	1	0.02127659574468085	3	0.006696428571428571	1	0.006535947712418301	0.014580167173252279	0.014740648032262549
RNF168	histone_write	11	0.23404255319148937	122	0.27232142857142855	43	0.28104575163398693	-0.03827887537993918	-0.04700319844249756	0	0.0	16	0.03571428571428571	3	0.0196078431372549	-0.03571428571428571	-0.0196078431372549
TOP2B	chromatin_remodeling	11	0.23404255319148937	115	0.25669642857142855	40	0.26143790849673204	-0.02265387537993918	-0.027395355305242675	11	0.23404255319148937	113	0.25223214285714285	40	0.26143790849673204	-0.018189589665653483	-0.027395355305242675
